gid,stad,temp,humd,wspd,wdir,cond,surf,h,date2,date_id
101,Raymond James Stadium,76.0,72.0,5.0,W,Clear,Grass,TB,2000-10-19,2000-10-19TB
102,Georgia Dome,68.0,,,,Dome,AstroTurf,ATL,2000-10-22,2000-10-22ATL
103,PSINet Stadium,64.0,,13.0,N,Mostly Sunny,Grass,BAL,2000-10-22,2000-10-22BAL
104,Ericsson Stadium,76.0,48.0,7.0,NE,Sunny,Grass,CAR,2000-10-22,2000-10-22CAR
105,Paul Brown Stadium,73.0,88.0,2.0,NE,Partly Cloudy,Grass,CIN,2000-10-22,2000-10-22CIN
106,Texas Stadium,70.0,100.0,10.0,SE,Rain,AstroTurf,DAL,2000-10-22,2000-10-22DAL
107,RCA Dome,72.0,,,,Dome,AstroTurf,IND,2000-10-22,2000-10-22IND
108,Alltel Stadium,79.0,,15.0,E,Chance Rain,Grass,JAC,2000-10-22,2000-10-22JAC
109,Arrowhead Stadium,64.0,90.0,14.0,SE,Cloudy,Grass,KC,2000-10-22,2000-10-22KC
110,Metrodome,62.0,,,,Dome,AstroTurf,MIN,2000-10-22,2000-10-22MIN
111,Network Associates Coliseum,70.0,18.0,31.0,NE,Clear,Grass,OAK,2000-10-22,2000-10-22OAK
112,Veterans Stadium,59.0,51.0,10.0,NE,Mostly Sunny,AstroTurf,PHI,2000-10-22,2000-10-22PHI
113,Three Rivers Stadium,75.0,,,VAR,Sunny,AstroTurf,PIT,2000-10-22,2000-10-22PIT
114,The Meadowlands,51.0,96.0,3.0,SSW,Clear,Grass,NYJ,2000-10-23,2000-10-23NYJ
115,Sun Devil Stadium,70.0,49.0,9.0,S,Partly Cloudy,Grass,ARI,2000-10-29,2000-10-29ARI
116,Georgia Dome,70.0,,,,Dome,AstroTurf,ATL,2000-10-29,2000-10-29ATL
117,PSINet Stadium,53.0,,18.0,NNE,Sunny,Grass,BAL,2000-10-29,2000-10-29BAL
118,Ralph Wilson Stadium,46.0,41.0,6.0,N,Sunny,AstroTurf,BUF,2000-10-29,2000-10-29BUF
119,Cleveland Browns Stadium,50.0,,9.0,N,Sunny,Grass,CLE,2000-10-29,2000-10-29CLE
120,Texas Stadium,72.0,90.0,13.0,S,Cloudy,AstroTurf,DAL,2000-10-29,2000-10-29DAL
121,RCA Dome,,,,,Dome,AstroTurf,IND,2000-10-29,2000-10-29IND
122,Pro Player Stadium,81.0,50.0,13.0,E,Mostly Sunny,Grass,MIA,2000-10-29,2000-10-29MIA
123,Giants Stadium,45.0,52.0,20.0,N,Light Rain,Grass,NYG,2000-10-29,2000-10-29NYG
124,3COM Park,60.0,65.0,13.0,WSW,Mostly Cloudy,Grass,SF,2000-10-29,2000-10-29SF
125,Husky Stadium,52.0,80.0,5.0,W,Mostly Sunny,FieldTurf,SEA,2000-10-29,2000-10-29SEA
126,Raymond James Stadium,82.0,74.0,7.0,WSW,Chance Rain,Grass,TB,2000-10-29,2000-10-29TB
127,Qualcomm Stadium,63.0,82.0,8.0,WSW,Partly Cloudy,Grass,SD,2000-10-29,2000-10-29SD
128,FedEx Field,54.0,38.0,9.0,NE,Clear,Grass,WAS,2000-10-30,2000-10-30WAS
129,Sun Devil Stadium,65.0,52.0,8.0,SW,Partly Cloudy,Grass,ARI,2000-11-05,2000-11-05ARI
130,Georgia Dome,63.0,,,,Dome,AstroTurf,ATL,2000-11-05,2000-11-05ATL
131,Soldier Field,57.0,40.0,12.0,S,Sunny,Grass,CHI,2000-11-05,2000-11-05CHI
132,Paul Brown Stadium,57.0,56.0,5.0,SE,Sunny,Grass,CIN,2000-11-05,2000-11-05CIN
133,Cleveland Browns Stadium,49.0,,11.0,N,Sunny,Grass,CLE,2000-11-05,2000-11-05CLE
134,Pontiac Silverdome,68.0,,,,Dome,AstroTurf,DET,2000-11-05,2000-11-05DET
135,Foxboro Stadium,46.0,95.0,20.0,N,Light Rain,Grass,NE,2000-11-05,2000-11-05NE
136,Louisiana Superdome,79.0,,,,Dome,AstroTurf,NO,2000-11-05,2000-11-05NO
137,The Meadowlands,51.0,50.0,20.0,NW,Partly Cloudy,Grass,NYJ,2000-11-05,2000-11-05NYJ
138,Network Associates Coliseum,66.0,77.0,7.0,W,Mostly Cloudy,Grass,OAK,2000-11-05,2000-11-05OAK
139,Veterans Stadium,52.0,53.0,18.0,NW,Mostly Cloudy,AstroTurf,PHI,2000-11-05,2000-11-05PHI
140,Husky Stadium,48.0,100.0,8.0,S,Rain,FieldTurf,SEA,2000-11-05,2000-11-05SEA
141,Adelphia Coliseum,56.0,64.0,9.0,E,Sunny,Grass,TEN,2000-11-05,2000-11-05TEN
142,Trans World Dome,,,,,Dome,AstroTurf,STL,2000-11-05,2000-11-05STL
143,Lambeau Field,50.0,77.0,22.0,E,Rain,Grass,GB,2000-11-06,2000-11-06GB
144,Ralph Wilson Stadium,40.0,82.0,10.0,NE,Cloudy,AstroTurf,BUF,2000-11-12,2000-11-12BUF
145,Ericsson Stadium,57.0,48.0,3.0,NE,Mostly Cloudy,Grass,CAR,2000-11-12,2000-11-12CAR
146,Cleveland Browns Stadium,44.0,,10.0,E,Mostly Sunny,Grass,CLE,2000-11-12,2000-11-12CLE
147,Texas Stadium,50.0,93.0,15.0,N,Light Rain,AstroTurf,DAL,2000-11-12,2000-11-12DAL
148,Pontiac Silverdome,68.0,,,,Dome,AstroTurf,DET,2000-11-12,2000-11-12DET
149,Alltel Stadium,69.0,,8.0,NE,Clear,Grass,JAC,2000-11-12,2000-11-12JAC
150,Metrodome,65.0,,,,Dome,AstroTurf,MIN,2000-11-12,2000-11-12MIN
151,Giants Stadium,54.0,62.0,8.0,NE,Partly Sunny,Grass,NYG,2000-11-12,2000-11-12NYG
152,Three Rivers Stadium,47.0,82.0,7.0,ESE,Cloudy,AstroTurf,PIT,2000-11-12,2000-11-12PIT
153,Qualcomm Stadium,63.0,69.0,7.0,WSW,Sunny,Grass,SD,2000-11-12,2000-11-12SD
154,3COM Park,54.0,61.0,4.0,E,Sunny,Grass,SF,2000-11-12,2000-11-12SF
155,Raymond James Stadium,75.0,51.0,7.0,SW,Clear,Grass,TB,2000-11-12,2000-11-12TB
156,Adelphia Coliseum,56.0,61.0,3.0,SW,Partly Sunny,Grass,TEN,2000-11-12,2000-11-12TEN
157,RCA Dome,72.0,,,,Dome,AstroTurf,IND,2000-11-12,2000-11-12IND
158,Mile High Stadium,20.0,37.0,3.0,SE,Clear,Grass,DEN,2000-11-13,2000-11-13DEN
159,PSINet Stadium,43.0,49.0,3.0,W,Fair,Grass,BAL,2000-11-19,2000-11-19BAL
160,Soldier Field,37.0,64.0,15.0,W,Cloudy,Grass,CHI,2000-11-19,2000-11-19CHI
161,Mile High Stadium,39.0,49.0,13.0,NE,Mostly Sunny,Grass,DEN,2000-11-19,2000-11-19DEN
162,Lambeau Field,27.0,93.0,8.0,S,Light Snow,Grass,GB,2000-11-19,2000-11-19GB
163,Arrowhead Stadium,46.0,52.0,15.0,WNW,Clear,Grass,KC,2000-11-19,2000-11-19KC
164,Pro Player Stadium,83.0,63.0,12.0,S,Mostly Sunny,Grass,MIA,2000-11-19,2000-11-19MIA
165,Metrodome,65.0,,,,Dome,AstroTurf,MIN,2000-11-19,2000-11-19MIN
166,Foxboro Stadium,47.0,,15.0,WSW,Partly Cloudy,Grass,NE,2000-11-19,2000-11-19NE
167,Louisiana Superdome,44.0,,,,Dome,AstroTurf,NO,2000-11-19,2000-11-19NO
168,Giants Stadium,40.0,58.0,9.0,NW,Mostly Cloudy,Grass,NYG,2000-11-19,2000-11-19NYG
169,Veterans Stadium,39.0,55.0,10.0,W,Cloudy,AstroTurf,PHI,2000-11-19,2000-11-19PHI
170,3COM Park,57.0,60.0,3.0,N,Fair,Grass,SF,2000-11-19,2000-11-19SF
171,Adelphia Coliseum,44.0,38.0,6.0,SW,Sunny,Grass,TEN,2000-11-19,2000-11-19TEN
172,Three Rivers Stadium,35.0,45.0,6.0,SW,Partly Cloudy,AstroTurf,PIT,2000-11-19,2000-11-19PIT
173,Trans World Dome,,,,,Dome,AstroTurf,STL,2000-11-20,2000-11-20STL
174,Texas Stadium,55.0,93.0,,,Rain,AstroTurf,DAL,2000-11-23,2000-11-23DAL
175,Pontiac Silverdome,68.0,,,,Dome,AstroTurf,DET,2000-11-23,2000-11-23DET
176,PSINet Stadium,55.0,97.0,10.0,W,Rain,Grass,BAL,2000-11-26,2000-11-26BAL
177,Paul Brown Stadium,46.0,89.0,12.0,SW,Chance Rain,Grass,CIN,2000-11-26,2000-11-26CIN
178,RCA Dome,72.0,,,,Dome,AstroTurf,IND,2000-11-26,2000-11-26IND
179,Alltel Stadium,62.0,,7.0,SW,Clear,Grass,JAC,2000-11-26,2000-11-26JAC
180,The Meadowlands,53.0,100.0,11.0,N,Rain,Grass,NYJ,2000-11-26,2000-11-26NYJ
181,Network Associates Coliseum,57.0,60.0,8.0,S,Mostly Sunny,Grass,OAK,2000-11-26,2000-11-26OAK
182,Qualcomm Stadium,69.0,66.0,8.0,WSW,Sunny,Grass,SD,2000-11-26,2000-11-26SD
183,Husky Stadium,48.0,90.0,9.0,N,Rain,FieldTurf,SEA,2000-11-26,2000-11-26SEA
184,Trans World Dome,,,,,Dome,AstroTurf,STL,2000-11-26,2000-11-26STL
185,Raymond James Stadium,67.0,95.0,8.0,SE,Chance Rain,Grass,TB,2000-11-26,2000-11-26TB
186,FedEx Field,50.0,88.0,5.0,W,Partly Cloudy,Grass,WAS,2000-11-26,2000-11-26WAS
187,Sun Devil Stadium,64.0,25.0,3.0,W,Clear,Grass,ARI,2000-11-26,2000-11-26ARI
188,Ericsson Stadium,46.0,69.0,3.0,WSW,Partly Cloudy,Grass,CAR,2000-11-27,2000-11-27CAR
189,Metrodome,65.0,,,,Dome,AstroTurf,MIN,2000-11-30,2000-11-30MIN
190,Georgia Dome,36.0,,,,Dome,AstroTurf,ATL,2000-12-03,2000-12-03ATL
191,Ralph Wilson Stadium,27.0,75.0,6.0,SW,Mostly Sunny,AstroTurf,BUF,2000-12-03,2000-12-03BUF
192,Ericsson Stadium,34.0,50.0,16.0,N,Cloudy,Grass,CAR,2000-12-03,2000-12-03CAR
193,Paul Brown Stadium,32.0,63.0,12.0,NE,Mostly Sunny,Grass,CIN,2000-12-03,2000-12-03CIN
194,Alltel Stadium,46.0,,10.0,N,Chance Rain,Grass,JAC,2000-12-03,2000-12-03JAC
195,Louisiana Superdome,43.0,,,,Dome,AstroTurf,NO,2000-12-03,2000-12-03NO
196,The Meadowlands,35.0,32.0,5.0,N,Clear,Grass,NYJ,2000-12-03,2000-12-03NYJ
197,Veterans Stadium,30.0,39.0,7.0,N,Partly Cloudy,AstroTurf,PHI,2000-12-03,2000-12-03PHI
198,Three Rivers Stadium,33.0,88.0,5.0,NNE,Mostly Sunny,AstroTurf,PIT,2000-12-03,2000-12-03PIT
199,Qualcomm Stadium,66.0,71.0,9.0,WSW,Sunny,Grass,SD,2000-12-03,2000-12-03SD
200,Raymond James Stadium,63.0,82.0,12.0,N,Cloudy,Grass,TB,2000-12-03,2000-12-03TB
201,FedEx Field,30.0,62.0,14.0,NE,Mostly Sunny,Grass,WAS,2000-12-03,2000-12-03WAS
202,Soldier Field,33.0,77.0,6.0,S,Clear,Grass,CHI,2000-12-03,2000-12-03CHI
203,Foxboro Stadium,45.0,42.0,10.0,S,Clear,Grass,NE,2000-12-04,2000-12-04NE
204,PSINet Stadium,39.0,62.0,2.0,NE,Light Rain,Grass,BAL,2000-12-10,2000-12-10BAL
205,Soldier Field,36.0,85.0,12.0,NW,Flurries,Grass,CHI,2000-12-10,2000-12-10CHI
206,Cleveland Browns Stadium,33.0,,9.0,S,Partly Sunny,Grass,CLE,2000-12-10,2000-12-10CLE
207,Texas Stadium,66.0,72.0,15.0,N,Partly Cloudy,AstroTurf,DAL,2000-12-10,2000-12-10DAL
208,Mile High Stadium,22.0,91.0,10.0,E,Cloudy,Grass,DEN,2000-12-10,2000-12-10DEN
209,Lambeau Field,25.0,74.0,13.0,NW,Partly Cloudy,Grass,GB,2000-12-10,2000-12-10GB
210,Alltel Stadium,61.0,,6.0,N,Rain,Grass,JAC,2000-12-10,2000-12-10JAC
211,Arrowhead Stadium,30.0,85.0,13.0,NW,Cloudy,Grass,KC,2000-12-10,2000-12-10KC
212,Pro Player Stadium,73.0,96.0,5.0,VAR,Cloudy,Grass,MIA,2000-12-10,2000-12-10MIA
213,Giants Stadium,37.0,67.0,7.0,VAR,Mostly Cloudy,Grass,NYG,2000-12-10,2000-12-10NYG
214,3COM Park,55.0,80.0,13.0,W,Chance Rain,Grass,SF,2000-12-10,2000-12-10SF
215,Trans World Dome,,,,,Dome,AstroTurf,STL,2000-12-10,2000-12-10STL
216,Adelphia Coliseum,52.0,80.0,7.0,S,Mostly Cloudy,Grass,TEN,2000-12-10,2000-12-10TEN
217,Network Associates Coliseum,54.0,74.0,9.0,W,Cloudy,Grass,OAK,2000-12-10,2000-12-10OAK
218,RCA Dome,72.0,,,,Dome,AstroTurf,IND,2000-12-11,2000-12-11IND
219,Three Rivers Stadium,44.0,79.0,,,Cloudy,AstroTurf,PIT,2000-12-16,2000-12-16PIT
220,Husky Stadium,52.0,63.0,21.0,S,Rain,FieldTurf,SEA,2000-12-16,2000-12-16SEA
221,Sun Devil Stadium,68.0,16.0,3.0,W,Clear,Grass,ARI,2000-12-17,2000-12-17ARI
222,Ralph Wilson Stadium,35.0,85.0,25.0,SW,Light Snow,AstroTurf,BUF,2000-12-17,2000-12-17BUF
223,Ericsson Stadium,36.0,67.0,15.0,WSW,Mostly Cloudy,Grass,CAR,2000-12-17,2000-12-17CAR
224,Paul Brown Stadium,9.0,72.0,20.0,W,Flurries,Grass,CIN,2000-12-17,2000-12-17CIN
225,Cleveland Browns Stadium,20.0,,35.0,W,Snow,Grass,CLE,2000-12-17,2000-12-17CLE
226,Arrowhead Stadium,9.0,61.0,6.0,W,Clear,Grass,KC,2000-12-17,2000-12-17KC
227,Pro Player Stadium,81.0,64.0,10.0,NW,Sunny,Grass,MIA,2000-12-17,2000-12-17MIA
228,Metrodome,66.0,,,,Dome,AstroTurf,MIN,2000-12-17,2000-12-17MIN
229,Louisiana Superdome,37.0,,,,Dome,AstroTurf,NO,2000-12-17,2000-12-17NO
230,The Meadowlands,63.0,100.0,25.0,SE,Rain,Grass,NYJ,2000-12-17,2000-12-17NYJ
231,3COM Park,58.0,68.0,6.0,N,Sunny,Grass,SF,2000-12-17,2000-12-17SF
232,Texas Stadium,41.0,48.0,8.0,N,Partly Cloudy,AstroTurf,DAL,2000-12-17,2000-12-17DAL
233,Raymond James Stadium,49.0,71.0,5.0,N,Clear,Grass,TB,2000-12-18,2000-12-18TB
234,Mile High Stadium,45.0,31.0,7.0,NE,Sunny,Grass,DEN,2000-12-23,2000-12-23DEN
235,Giants Stadium,23.0,43.0,12.0,NW,Sunny,Grass,NYG,2000-12-23,2000-12-23NYG
236,Husky Stadium,41.0,100.0,3.0,SE,Rain,FieldTurf,SEA,2000-12-23,2000-12-23SEA
237,Georgia Dome,39.0,,,,Dome,AstroTurf,ATL,2000-12-24,2000-12-24ATL
238,PSINet Stadium,36.0,42.0,5.0,SSW,Partly Cloudy,Grass,BAL,2000-12-24,2000-12-24BAL
239,Pontiac Silverdome,68.0,,,,Dome,AstroTurf,DET,2000-12-24,2000-12-24DET
240,Lambeau Field,15.0,61.0,15.0,NW,Sunny,Grass,GB,2000-12-24,2000-12-24GB
241,RCA Dome,72.0,,,,Dome,AstroTurf,IND,2000-12-24,2000-12-24IND
242,Foxboro Stadium,31.0,,10.0,SW,Snow,Grass,NE,2000-12-24,2000-12-24NE
243,Louisiana Superdome,53.0,,,,Dome,AstroTurf,NO,2000-12-24,2000-12-24NO
244,Network Associates Coliseum,56.0,77.0,8.0,NW,Partly Cloudy,Grass,OAK,2000-12-24,2000-12-24OAK
245,Veterans Stadium,31.0,51.0,7.0,S,Cloudy,AstroTurf,PHI,2000-12-24,2000-12-24PHI
246,Qualcomm Stadium,62.0,63.0,8.0,WSW,Sunny,Grass,SD,2000-12-24,2000-12-24SD
247,FedEx Field,34.0,55.0,7.0,S,Clear,Grass,WAS,2000-12-24,2000-12-24WAS
248,Adelphia Coliseum,29.0,35.0,10.0,NE,Cloudy,Grass,TEN,2000-12-25,2000-12-25TEN
249,Pro Player Stadium,59.0,58.0,15.0,NW,Mostly Sunny,Grass,MIA,2000-12-30,2000-12-30MIA
250,Louisiana Superdome,37.0,,,,Dome,AstroTurf,NO,2000-12-30,2000-12-30NO
251,PSINet Stadium,22.0,49.0,23.0,NNW,Mostly Sunny,Grass,BAL,2000-12-31,2000-12-31BAL
